State,Median Income
Alabama,"49,936"
Alaska,"68,734"
Arizona,"62,283"
Arkansas,"49,781"
California,"70,489"
Colorado,"73,034"
Connecticut,"72,812"
Delaware,"65,012"
D.C.,"85,750"
Florida,"54,644"
Georgia,"55,821"
Hawaii,"80,108"
Idaho,"58,728"
Illinois,"70,145"
Indiana,"59,892"
Iowa,"68,718"
Kansas,"63,938"
Kentucky,"54,555"
Louisiana,"49,973"
Maine,"58,663"
Maryland,"86,223"
Massachusetts,"86,345"
Michigan,"60,449"
Minnesota,"71,817"
Mississippi,"42,781"
Missouri,"61,726"
Montana,"57,679"
Nebraska,"67,575"
Nevada,"61,864"
New Hampshire,"81,346"
New Jersey,"74,176"
New Mexico,"48,283"
New York,"67,274"
North Carolina,"53,369"
North Dakota,"66,505"
Ohio,"61,633"
Oklahoma,"54,434"
Oregon,"69,165"
Pennsylvania,"64,524"
Rhode Island,"62,266"
South Carolina,"57,444"
South Dakota,"59,463"
Tennessee,"56,060"
Texas,"59,785"
Utah,"77,067"
Vermont,"70,066"
Virginia,"77,151"
Washington,"79,726"
West Virginia,"50,573"
Wisconsin,"62,629"
Wyoming,"62,539"
