State,Democrat,Republican
Massachusetts,56,27
Vermont,55,30
Hawaii,54,29
Maryland,54,31
New York,53,30
Connecticut,52,33
California,51,31
Illinois,50,34
New Jersey,50,35
Washington,50,35
Maine,50,37
Delaware,48,35
New Hampshire,48,36
New Mexico,48,38
Oregon,47,38
Colorado,47,40
Virginia,46,39
Minnesota,46,38
Pennsylvania,46,40
Nevada,45,38
Michigan,45,39
Wisconsin,43,43
Georgia,43,42
Rhode Island,43,36
Nebraska,42,43
Kentucky,42,45
Iowa,42,42
Florida,42,41
North Carolina,41,42
Arizona,41,41
Ohio,41,45
South Dakota,40,51
Montana,39,46
Texas,39,42
Indiana,38,46
Oklahoma,38,46
Missouri,38,47
South Carolina,37,47
Louisiana,37,45
West Virginia,37,49
Kansas,36,47
Mississippi,36,48
Tennessee,35,48
Arkansas,35,48
Alabama,35,52
Idaho,34,50
Alaska,33,51
North Dakota,30,55
Utah,28,56
Wyoming,25,59
